id,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_similarity,decision,reason,generated_response,evidence_customer,evidence_response,relevance,groundedness,helpfulness,evidence_similarity,overall_response_score
828308,I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house.,return_refund,return_refund,0.35598376576342045,1.0000000000000002,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. Please share your info through a desktop/laptop only. (2/2),I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house.,Please share your info through a desktop/laptop only. (2/2),0.13333333333333333,0.8,0.3333333333333333,0.6853880419233518,0.48947487295516934
980709,With that response I guess you didn't read my message clearly. IT WAS NOT LEFT IN MY SAFE PLACE!!!! It was left on top of a bin!!! I do have,order_delivery,order_delivery,0.21622960747884298,1.0,ESCALATE,low intent confidence,"Thanks for reaching out. Hi Steve. Did you nominate a 'safe place' for deliveries? If so, can you check there for your order?",With that response I guess you didn't read my message clearly. IT WAS NOT LEFT IN MY SAFE PLACE!!!! It was left on top of a bin!!! I do have,"Hi Steve. Did you nominate a 'safe place' for deliveries? If so, can you check there for your order?",0.16666666666666666,0.8181818181818182,0.3333333333333333,0.826253287234524,0.5269682961154816
80585,It has essentially looked like this every day since Monday...,general_feedback,general_feedback,0.23517068409794262,1.0,ESCALATE,low intent confidence,Thanks for reaching out. I'm sorry your order has yet to arrive! What does the most recent tracking update from the carrier show here:,It has essentially looked like this every day since Monday...,I'm sorry your order has yet to arrive! What does the most recent tracking update from the carrier show here:,0.0,0.875,0.3333333333333333,0.8093107136677958,0.494313273716836
234828,I tried emailing and on the phone it’s on 1 account they don’t know why I’ve been charged twice but now I’m just without prime😡😡😢😢,payment_billing,payment_billing,0.5909836948157812,1.0000000000000002,ESCALATE,issue may require account-specific information,"Thanks for reaching out. Very sorry to hear this.If you were charged twice, this must have occurred on different accounts. Have you reached out to us?",I tried emailing and on the phone it’s on 1 account they don’t know why I’ve been charged twice but now I’m just without prime😡😡😢😢,"Very sorry to hear this.If you were charged twice, this must have occurred on different accounts. Have you reached out to us?",0.16666666666666666,0.8666666666666667,0.0,0.8093107136677958,0.4747299403835027
2663581,R U saying that seller has right to increase MRP and sell products?,general_feedback,general_feedback,0.2990752953674325,0.9999999999999999,ESCALATE,low intent confidence,Thanks for reaching out. Prices are decided by the sellers. You may refer here for more information:,R U saying that seller has right to increase MRP and sell products?,Prices are decided by the sellers. You may refer here for more information:,0.0,0.7777777777777778,0.0,0.7297276980311308,0.3816813769268918
2499119,I have already responded to the correspondence I received like couple of hours ago .,customer_service,customer_service,0.29668422784876336,1.0000000000000002,ESCALATE,low intent confidence,Thanks for reaching out. I understand the disappointment. Kindly respond to the latest correspondence from our team for further assistance.,I have already responded to the correspondence I received like couple of hours ago .,I understand the disappointment. Kindly respond to the latest correspondence from our team for further assistance.,0.125,0.8333333333333334,0.0,0.8093107136677958,0.450563273716836
2287987,"chuck it, am sick and tired of all this shit around. I wanted to give my aged father a BP monitoring machine which also couldn’t reach. Am f*** bothered now when it reaches. It didn’t when it was required",order_delivery,order_delivery,0.24109193977700935,1.0,ESCALATE,low intent confidence,"Thanks for reaching out. That's odd, you can also reach out to us via chat or email using the link here:","chuck it, am sick and tired of all this shit around. I wanted to give my aged father a BP monitoring machine which also couldn’t reach. Am f*** bothered now when it reaches. It didn’t when it was required","That's odd, you can also reach out to us via chat or email using the link here:",0.09523809523809523,0.8,0.3333333333333333,0.7628693657641714,0.4896685001027209
2881835,Fast delivery at the cost of damaged goods is not complete service. Will be returning the product via app.,return_refund,return_refund,0.26861465953932046,1.0000000000000002,ESCALATE,low intent confidence,"Thanks for reaching out. Sorry to hear you've received the package in damage condition. If you want to return the package, please visit here : to raise the return request. Also, I will be sure to forward your delivery feedback to our team internally for a review.",Fast delivery at the cost of damaged goods is not complete service. Will be returning the product via app,"Sorry to hear you've received the package in damage condition. If you want to return the package, please visit here : to raise the return request. Also, I will be sure to forward your delivery feedback to our team internally for a review.",0.2,0.92,0.3333333333333333,0.9223016102772285,0.5870119082082509
96803,#LGQ6AppQuiz still not yet listed in your link.,general_feedback,general_feedback,0.21469169403700042,0.9999999999999998,ESCALATE,low intent confidence,"Thanks for reaching out. Winners for the #LGQ6AppQuiz contest will be announced by November 30, 2017.",#LGQ6AppQuiz still not yet listed in your link.,"Winners for the #LGQ6AppQuiz contest will be announced by November 30, 2017.",0.0,0.7142857142857143,0.0,0.7886507647472073,0.3682976147120811
485248,Can u atleast provide your customer care number so that I can contact them ?,customer_service,customer_service,0.2987487870888221,1.0000000000000002,ESCALATE,low intent confidence,"Thanks for reaching out. As we're on Twitter, we won't be able to check it, however, you may do so via Also, please don't provide your details, as we consider it to be personal info. Our Twitter page is visible to the public. Keep us posted for any further query.",Can u atleast provide your customer care number so that I can contact them ?,"As we're on Twitter, we won't be able to check it, however, you may do so via Also, please don't provide your details, as we consider it to be personal info. Our Twitter page is visible to the public. Keep us posted for any further query.",0.2222222222222222,0.9047619047619048,0.6666666666666666,0.8982314597940044,0.6514013856357672
