id,intent,query,top1_similarity,top3_average,top5_average
828308,return_refund,I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house.,0.26209606107693784,0.25657069565645846,0.24326041227832537
980709,order_delivery,With that response I guess you didn't read my message clearly. IT WAS NOT LEFT IN MY SAFE PLACE!!!! It was left on top of a bin!!! I do have,0.4327750272154788,0.38530104735194465,0.3570945311075238
80585,general_feedback,It has essentially looked like this every day since Monday...,0.4328408292532684,0.3566582993335145,0.3298773667341692
234828,payment_billing,I tried emailing and on the phone it’s on 1 account they don’t know why I’ve been charged twice but now I’m just without prime😡😡😢😢,0.36187455937721674,0.31013785279148504,0.28820510463529886
2663581,general_feedback,R U saying that seller has right to increase MRP and sell products?,0.3960210246007001,0.38369193091646564,0.3690885692982971
2499119,customer_service,I have already responded to the correspondence I received like couple of hours ago .,0.5209976731426149,0.49449553945199737,0.46627944497957763
2287987,order_delivery,"chuck it, am sick and tired of all this shit around. I wanted to give my aged father a BP monitoring machine which also couldn’t reach. Am f*** bothered now when it reaches. It didn’t when it was required",0.31294786015981435,0.2680364803283313,0.24214008953553848
2881835,return_refund,Fast delivery at the cost of damaged goods is not complete service. Will be returning the product via app.,1.0000000000000002,0.5330259022425109,0.41915086276441793
96803,general_feedback,#LGQ6AppQuiz still not yet listed in your link.,0.6069444939983553,0.4839447108046488,0.41390522098851834
485248,customer_service,Can u atleast provide your customer care number so that I can contact them ?,0.6091811796589293,0.5460412418946222,0.4960664836195929
1067744,customer_service,"Wat more detail u want me to fill here? I have filled these thrice, hw much more u would fool me wid ds generic replies? U looters, u cheats",0.36871148455951064,0.3239682425473801,0.2959194823799719
239435,order_delivery,UPS for all 5 packages :(,0.470756428735752,0.43014105599902047,0.39763303139867007
485366,order_delivery,"No, your delivery team are incapable of just leaving a parcel. Ive has 3 different ideas from your support team but none have worked. The deliveries are just given to the nearest neighbour despite requests",0.2478147759811699,0.22931971964012146,0.2226853157362591
832716,customer_service,Yes as per my earlier message I told u people that I have replied on that mail as well,0.5151191292524786,0.5151191292524786,0.5151191292524786
503398,order_delivery,"Until you control shipping, doubt there’s anything you can do other than just not promise dates until after the holidays. Of course shipping the in stock product when I ordered it and not three days later (on the original delivery date) probably could have helped.",0.28278131146432356,0.27218546568923646,0.254866571606739
549546,return_refund,"I won’t know until it’s opened on Christmas Day-I don’t want to open the inner box to check as it’s a gift, would I be able to contact for return still if it is damaged? I have taken photos of the damaged box",0.33821772983115267,0.31091273529940205,0.2868689442718205
758938,customer_service,"I am messaging you the details,see if you care enough as you say .I am sick of filling these forms",0.5476972023473999,0.48942290171343433,0.4258489712258756
985150,general_feedback,No. I will do that. Thank you very much.,1.0,1.0,1.0
469406,customer_service,"How could you called itself world's most customer centric company, shame on you guys, There is no proper customer support #UNINSTALLAMAZON",0.5298289570149886,0.4973683955392751,0.4881443914624298
815491,customer_service,think u should jump in to get a happy customer your team is not even giving me a call neither want to resolve the query,0.4136083221208891,0.3496230108294098,0.3278228601453606
898373,customer_service,I m nt sure if u ppl hv brain to understand d problem summry. Read again& call me.,0.44453714140832623,0.36612670747335435,0.3246559573472476
2133266,order_delivery,I ordered 3 sets of Xbox game codes and my account says verifying. They was ordered at 5pm yesterday. Been told 4 hours and still not here.,0.32305336781487637,0.2696075786070089,0.2589184207654354
472331,prime,It's with I was using my free trial of Amazon Music when this came to my attention.,0.4539329448459485,0.445205080840324,0.42458962572359543
37607,customer_service,Have concted your cc 10 times. You have my details. Filled this form also. Horrible experience,0.526969048792961,0.4452239165798338,0.42601352892837285
793899,order_delivery,Can i have a ETA from your end for the resolution or you just making fool of your customers. Full money paid & no product received.,0.40271700926182363,0.37593127998260184,0.36145810209251905
619101,customer_service,Nah u don’t understand the customer plight. Else d issue wouldn’t have been left unattended for dis long. So stop putting a mask of concern,0.40197516212456275,0.33420240867419365,0.2919057628167715
182998,order_delivery,"I have, nothing there I'm afraid. I've also check the msg centre. I don't have an email confirming the preorder either which is odd",0.3155525610002875,0.2709333877270513,0.2558515584493377
1727579,general_feedback,he's lying . I've not sent him any product 😏,0.5712187219254827,0.4933349804004279,0.45714026984665723
1889496,payment_billing,I am a business account holder. Not all your sellers provide GST invoices. I request you that Cloudtail provide GST invoices.,0.4485727175450903,0.35165841087298233,0.32089080831631517
1733924,return_refund,It’s sold by amazon I have the order number . How do I get a replacement sent to me etc ?,0.5532213282269083,0.524619484645056,0.5188991159286855
897115,customer_service,I have replied to your mail as well.,1.0000000000000002,1.0000000000000002,1.0000000000000002
1137332,customer_service,Earliest? When? I want a resolution right now,0.5062391226207132,0.46361457572385767,0.437630308622992
294893,return_refund,"The wrong shipping label was sent to me for a return. Although I returned the correct item, I was charged for not returning the item.",0.27500018362451284,0.2614158348339987,0.25441038024885937
1144975,customer_service,I have the number for your head office in slough and I'll be calling them tomorrow!,0.6543515347310939,0.44180297124736323,0.38320794078936815
1258971,order_delivery,2 TIMES THE PRODUCT IS NOT DELIVERED WITH FALSE PROMISE? 12 DAYS WAITING..CAN YOU BE MORE ACCOUNTABLE,0.4510771520888357,0.36972447292450505,0.3394500491147581
2292288,return_refund,So it’s been a long case but the issue I’m having now is that I was told by a supervisor over the phone last week that I would get my money back From my order and a say goodwill gesture I would have the same amount of money put into a gift card,0.30520055863084483,0.29602462770032734,0.2864144667479763
2142449,order_delivery,"it doesnt appear so, but ive been having the package drying. im dissapointed that i got a notification so late after delivery though",0.29732623963010607,0.2781414819330192,0.2628278371558169
